epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1450.09,1.77014,0.97265,0.00381,0.73717,0.75336,0.77002,0.37127,1.98077,0.9499,0.00567,0.0004654,0.0004654,0.0004654
83,1467.57,1.75374,0.9569,0.00393,0.70558,0.74556,0.76558,0.38076,1.96153,0.89415,0.00563,0.0004588,0.0004588,0.0004588
84,1485.35,1.76178,0.95659,0.00372,0.74906,0.72167,0.76012,0.36524,2.04489,0.93791,0.00579,0.0004522,0.0004522,0.0004522
85,1503.54,1.70276,0.93733,0.00381,0.73552,0.76795,0.77096,0.36283,2.00995,0.88316,0.00568,0.0004456,0.0004456,0.0004456
86,1521.24,1.72152,0.89619,0.00386,0.82163,0.69859,0.7813,0.37493,1.99423,0.8739,0.00554,0.000439,0.000439,0.000439
87,1538.86,1.75158,0.94828,0.00372,0.78029,0.74592,0.79038,0.37908,1.96436,0.90368,0.00552,0.0004324,0.0004324,0.0004324
88,1556.56,1.75958,0.96178,0.00409,0.8083,0.72158,0.77778,0.37475,2.00898,0.87692,0.00566,0.0004258,0.0004258,0.0004258
89,1574.03,1.71242,0.94857,0.00375,0.71633,0.75547,0.78831,0.37779,1.97131,0.94724,0.00545,0.0004192,0.0004192,0.0004192
90,1591.81,1.69307,0.93952,0.00375,0.80429,0.7527,0.80209,0.40551,1.90463,0.84095,0.00518,0.0004126,0.0004126,0.0004126
91,1609.47,1.69215,0.94074,0.00375,0.80667,0.77067,0.80065,0.38974,1.95478,0.90627,0.00542,0.000406,0.000406,0.000406
92,1627,1.69862,0.92988,0.0037,0.78626,0.77213,0.80892,0.37772,2.01694,0.8631,0.00591,0.0003994,0.0003994,0.0003994
93,1644.79,1.69719,0.91009,0.00348,0.82342,0.7202,0.80533,0.37469,2.06052,0.91735,0.00581,0.0003928,0.0003928,0.0003928
94,1662.51,1.65781,0.89444,0.00354,0.85582,0.72,0.80644,0.37359,2.06073,0.88653,0.006,0.0003862,0.0003862,0.0003862
95,1680.16,1.63779,0.89153,0.00371,0.82212,0.75547,0.81,0.40626,1.93937,0.85126,0.0053,0.0003796,0.0003796,0.0003796
96,1698.07,1.6816,0.91593,0.00372,0.80433,0.74949,0.81214,0.40638,1.91985,0.84384,0.00517,0.000373,0.000373,0.000373
97,1716.21,1.67012,0.89612,0.00369,0.79981,0.75822,0.81106,0.36687,2.04868,0.87998,0.00593,0.0003664,0.0003664,0.0003664
98,1734.48,1.68781,0.91092,0.00353,0.81117,0.76,0.81142,0.39668,1.93813,0.87947,0.00537,0.0003598,0.0003598,0.0003598
99,1752.64,1.70886,0.90847,0.00376,0.80777,0.73441,0.80367,0.40186,1.89929,0.84349,0.00526,0.0003532,0.0003532,0.0003532
100,1770.72,1.69174,0.92818,0.00367,0.78836,0.77227,0.8042,0.39174,1.97853,0.91004,0.00549,0.0003466,0.0003466,0.0003466
101,1788.54,1.66106,0.87438,0.00351,0.83272,0.73059,0.8117,0.39999,1.94601,0.83899,0.00537,0.00034,0.00034,0.00034
102,1806.58,1.66586,0.90344,0.0037,0.83616,0.745,0.81627,0.38559,1.98523,0.87671,0.00559,0.0003334,0.0003334,0.0003334
103,1824.04,1.64792,0.88197,0.00346,0.76403,0.77387,0.81106,0.39666,1.96929,0.85441,0.00549,0.0003268,0.0003268,0.0003268
104,1841.89,1.67273,0.89822,0.00357,0.80462,0.73851,0.80256,0.40343,1.92057,0.86292,0.00524,0.0003202,0.0003202,0.0003202
105,1860.06,1.67321,0.89051,0.00364,0.81113,0.74079,0.80187,0.41098,1.88789,0.83201,0.00515,0.0003136,0.0003136,0.0003136
106,1878.19,1.66096,0.88083,0.00357,0.88059,0.72748,0.81017,0.40048,1.95099,0.84061,0.00536,0.000307,0.000307,0.000307
107,1896.1,1.63668,0.84859,0.00339,0.81041,0.77076,0.81816,0.43392,1.81416,0.78749,0.00487,0.0003004,0.0003004,0.0003004
108,1913.81,1.64767,0.87303,0.00353,0.81558,0.75824,0.82884,0.46161,1.70725,0.78863,0.00425,0.0002938,0.0002938,0.0002938
109,1931.41,1.66194,0.87514,0.00346,0.83713,0.75497,0.82867,0.46343,1.68276,0.78104,0.0042,0.0002872,0.0002872,0.0002872
110,1949.04,1.63878,0.86305,0.00346,0.79202,0.78466,0.82915,0.44946,1.77892,0.81485,0.00466,0.0002806,0.0002806,0.0002806
111,1966.55,1.64598,0.85549,0.00334,0.78724,0.79012,0.83047,0.42488,1.89213,0.83331,0.00505,0.000274,0.000274,0.000274
112,1984.11,1.64188,0.87985,0.00348,0.84988,0.76844,0.83104,0.42771,1.89127,0.82191,0.00511,0.0002674,0.0002674,0.0002674
113,2001.72,1.61941,0.85454,0.00367,0.85502,0.76508,0.8284,0.43107,1.86277,0.81529,0.00491,0.0002608,0.0002608,0.0002608
114,2019.26,1.58356,0.82837,0.00331,0.85277,0.75537,0.83556,0.44165,1.83653,0.80858,0.00491,0.0002542,0.0002542,0.0002542
115,2036.87,1.614,0.84331,0.00346,0.82504,0.77241,0.83652,0.46484,1.75112,0.7629,0.0045,0.0002476,0.0002476,0.0002476
116,2054.63,1.60815,0.85176,0.00349,0.85657,0.76288,0.83185,0.46095,1.76056,0.78024,0.00446,0.000241,0.000241,0.000241
117,2072.26,1.60334,0.82304,0.00352,0.82042,0.78543,0.83589,0.45739,1.79327,0.79295,0.00469,0.0002344,0.0002344,0.0002344
118,2090.05,1.62628,0.84976,0.00342,0.8523,0.75263,0.83623,0.47408,1.73057,0.77798,0.00432,0.0002278,0.0002278,0.0002278
119,2108.29,1.59024,0.8592,0.0035,0.84118,0.77267,0.83836,0.48235,1.67492,0.79053,0.00411,0.0002212,0.0002212,0.0002212
120,2126.15,1.57908,0.83493,0.00332,0.83567,0.78354,0.84087,0.48336,1.68844,0.76274,0.00429,0.0002146,0.0002146,0.0002146
121,2144.01,1.56594,0.82252,0.00339,0.83045,0.7841,0.84429,0.49357,1.64568,0.74914,0.00393,0.000208,0.000208,0.000208
122,2161.59,1.59069,0.80199,0.00325,0.81818,0.7831,0.84122,0.4868,1.66402,0.74712,0.00415,0.0002014,0.0002014,0.0002014
123,2179.2,1.64228,0.84563,0.00338,0.82054,0.78361,0.84277,0.46737,1.75328,0.76695,0.00446,0.0001948,0.0001948,0.0001948
124,2196.82,1.59383,0.81953,0.00331,0.83739,0.77177,0.84656,0.47813,1.69225,0.76093,0.00419,0.0001882,0.0001882,0.0001882
125,2215.13,1.62845,0.84636,0.00339,0.84514,0.77497,0.84718,0.48279,1.70023,0.76121,0.00424,0.0001816,0.0001816,0.0001816
126,2233,1.58321,0.82866,0.00327,0.85806,0.76665,0.843,0.5053,1.62881,0.73582,0.00399,0.000175,0.000175,0.000175
127,2250.92,1.59323,0.84728,0.00335,0.88108,0.7644,0.84363,0.51024,1.61772,0.73042,0.00393,0.0001684,0.0001684,0.0001684
128,2268.61,1.57582,0.81232,0.00333,0.88083,0.75673,0.84067,0.51087,1.60708,0.73516,0.00383,0.0001618,0.0001618,0.0001618
129,2286.42,1.58155,0.82584,0.00319,0.84311,0.78789,0.84532,0.50469,1.6177,0.73265,0.00397,0.0001552,0.0001552,0.0001552
130,2304.01,1.57689,0.8144,0.00316,0.81084,0.80355,0.84224,0.51689,1.5691,0.7233,0.00369,0.0001486,0.0001486,0.0001486
131,2321.69,1.60016,0.83369,0.00314,0.78408,0.78957,0.83533,0.50645,1.58396,0.7283,0.0038,0.000142,0.000142,0.000142
132,2339.25,1.5787,0.82068,0.00327,0.76983,0.80377,0.83529,0.50956,1.55569,0.72462,0.00368,0.0001354,0.0001354,0.0001354
133,2356.86,1.5778,0.8018,0.00308,0.78247,0.81471,0.83809,0.50952,1.56448,0.71492,0.00371,0.0001288,0.0001288,0.0001288
134,2374.37,1.54424,0.78825,0.00314,0.80429,0.81147,0.84132,0.52524,1.5351,0.70005,0.00355,0.0001222,0.0001222,0.0001222
135,2392.15,1.5696,0.82103,0.0033,0.81237,0.79344,0.8417,0.51944,1.55636,0.70637,0.00365,0.0001156,0.0001156,0.0001156
136,2409.12,1.45533,0.71459,0.00314,0.81953,0.77728,0.83119,0.51426,1.5355,0.72711,0.00352,0.000109,0.000109,0.000109
137,2425.92,1.44093,0.70155,0.00314,0.80594,0.78433,0.8354,0.52629,1.50719,0.70768,0.00337,0.0001024,0.0001024,0.0001024
138,2442.88,1.44788,0.70498,0.00312,0.83042,0.77902,0.83794,0.53249,1.50652,0.70642,0.00337,9.58e-05,9.58e-05,9.58e-05
139,2459.91,1.42575,0.70328,0.00306,0.81998,0.79513,0.84218,0.53112,1.51259,0.70971,0.00341,8.92e-05,8.92e-05,8.92e-05
140,2476.84,1.43501,0.69565,0.00323,0.7919,0.81297,0.84339,0.53518,1.48472,0.70425,0.00331,8.26e-05,8.26e-05,8.26e-05
141,2493.68,1.43477,0.69359,0.00309,0.8346,0.78718,0.84529,0.53436,1.49153,0.69456,0.00333,7.6e-05,7.6e-05,7.6e-05
142,2510.47,1.46025,0.70406,0.00308,0.79898,0.81564,0.84712,0.53484,1.4974,0.6916,0.0034,6.94e-05,6.94e-05,6.94e-05
143,2527.16,1.43991,0.69999,0.00306,0.8207,0.79525,0.84407,0.53407,1.48688,0.69659,0.00332,6.28e-05,6.28e-05,6.28e-05
144,2543.76,1.44298,0.69409,0.00298,0.79053,0.80856,0.84477,0.532,1.49796,0.70653,0.00336,5.62e-05,5.62e-05,5.62e-05
145,2560.66,1.42022,0.69012,0.00293,0.81731,0.79794,0.84799,0.53242,1.51639,0.70596,0.00346,4.96e-05,4.96e-05,4.96e-05
146,2577.66,1.44001,0.69279,0.00303,0.80963,0.8,0.8513,0.54033,1.49194,0.6955,0.00335,4.3e-05,4.3e-05,4.3e-05
147,2594.12,1.42743,0.68573,0.00302,0.82577,0.79128,0.84763,0.54235,1.46848,0.68783,0.00326,3.64e-05,3.64e-05,3.64e-05
148,2610.73,1.42548,0.68124,0.00302,0.843,0.78262,0.85122,0.54658,1.46505,0.67986,0.00324,2.98e-05,2.98e-05,2.98e-05
149,2626.83,1.41954,0.68132,0.00296,0.82308,0.80128,0.8489,0.54408,1.46961,0.68719,0.00328,2.32e-05,2.32e-05,2.32e-05
150,2642.38,1.42522,0.68135,0.00299,0.82047,0.80606,0.85002,0.54621,1.46884,0.6875,0.00325,1.66e-05,1.66e-05,1.66e-05
