epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1130.09,1.75576,0.97036,0.00394,0.79398,0.70303,0.7613,0.44199,1.63252,0.86299,0.00397,0.0002954,0.0002954,0.0002954
64,1147.54,1.78338,0.98077,0.0039,0.77184,0.70671,0.7548,0.45283,1.6204,0.84025,0.00389,0.0002921,0.0002921,0.0002921
65,1165.19,1.79769,1.00176,0.00379,0.7266,0.70371,0.73941,0.44606,1.6151,0.8579,0.00384,0.0002888,0.0002888,0.0002888
66,1182.92,1.74023,0.97342,0.00382,0.71434,0.70551,0.73129,0.44439,1.58648,0.84857,0.00379,0.0002855,0.0002855,0.0002855
67,1200.37,1.71114,0.96409,0.00394,0.73783,0.71773,0.74108,0.44445,1.61698,0.84051,0.00383,0.0002822,0.0002822,0.0002822
68,1218.43,1.82674,1.02969,0.00402,0.72386,0.69668,0.73584,0.44523,1.60952,0.88117,0.00375,0.0002789,0.0002789,0.0002789
69,1236.03,1.74196,0.97516,0.00377,0.72365,0.70449,0.74806,0.46221,1.5897,0.84046,0.00368,0.0002756,0.0002756,0.0002756
70,1254.15,1.74002,0.99319,0.00391,0.70787,0.71732,0.73516,0.43707,1.59258,0.85408,0.00383,0.0002723,0.0002723,0.0002723
71,1271.72,1.7066,0.9705,0.00386,0.73855,0.71395,0.74894,0.44071,1.63953,0.83732,0.00398,0.000269,0.000269,0.000269
72,1289.18,1.72777,0.93907,0.00395,0.7375,0.70483,0.73544,0.45148,1.59672,0.8795,0.00375,0.0002657,0.0002657,0.0002657
73,1306.9,1.73959,0.95735,0.00368,0.77106,0.72174,0.75871,0.46997,1.5853,0.81948,0.00378,0.0002624,0.0002624,0.0002624
74,1324.91,1.77011,0.98674,0.00385,0.7365,0.76211,0.76708,0.45786,1.60965,0.81667,0.00389,0.0002591,0.0002591,0.0002591
75,1342.78,1.73789,0.96018,0.00377,0.73557,0.75709,0.76084,0.45571,1.60144,0.81305,0.0038,0.0002558,0.0002558,0.0002558
76,1360.51,1.69296,0.91852,0.00374,0.7761,0.73734,0.77398,0.46821,1.5833,0.8083,0.00371,0.0002525,0.0002525,0.0002525
77,1378.13,1.73375,0.97238,0.0038,0.74137,0.76526,0.78412,0.47869,1.55714,0.81077,0.00358,0.0002492,0.0002492,0.0002492
78,1395.76,1.70245,0.93573,0.00353,0.79757,0.72569,0.78555,0.48225,1.55343,0.79237,0.00359,0.0002459,0.0002459,0.0002459
79,1413.35,1.65672,0.92554,0.00351,0.74616,0.73967,0.77506,0.47712,1.55807,0.81124,0.00359,0.0002426,0.0002426,0.0002426
80,1430.87,1.67712,0.91732,0.0037,0.76032,0.74788,0.7717,0.47765,1.5448,0.80001,0.00353,0.0002393,0.0002393,0.0002393
81,1448.43,1.74254,0.95008,0.00353,0.79461,0.72933,0.78086,0.48005,1.53347,0.80367,0.00346,0.000236,0.000236,0.000236
82,1466.16,1.71619,0.92647,0.00357,0.81988,0.74121,0.79141,0.47583,1.59131,0.79539,0.00372,0.0002327,0.0002327,0.0002327
83,1483.8,1.69276,0.92823,0.00362,0.78862,0.75252,0.78761,0.47507,1.57393,0.79317,0.00368,0.0002294,0.0002294,0.0002294
84,1501.97,1.70471,0.9318,0.00346,0.79161,0.73828,0.78472,0.48025,1.56099,0.79076,0.00356,0.0002261,0.0002261,0.0002261
85,1519.49,1.65273,0.91549,0.00348,0.78488,0.74704,0.78934,0.48903,1.56949,0.77801,0.00368,0.0002228,0.0002228,0.0002228
86,1536.87,1.68979,0.89067,0.00363,0.82681,0.73859,0.79504,0.49387,1.55775,0.75854,0.00353,0.0002195,0.0002195,0.0002195
87,1554.37,1.7152,0.92819,0.00345,0.81492,0.7593,0.80286,0.49499,1.55631,0.74834,0.00353,0.0002162,0.0002162,0.0002162
88,1572.28,1.6959,0.93334,0.00379,0.74347,0.76583,0.78839,0.49334,1.52446,0.75955,0.00339,0.0002129,0.0002129,0.0002129
89,1590.08,1.65585,0.9249,0.00354,0.77383,0.73196,0.78679,0.49433,1.5213,0.80293,0.00336,0.0002096,0.0002096,0.0002096
90,1608.04,1.645,0.88903,0.00356,0.78666,0.74523,0.79553,0.49744,1.53239,0.77011,0.0035,0.0002063,0.0002063,0.0002063
91,1625.85,1.64741,0.90956,0.0035,0.78007,0.77758,0.81209,0.50759,1.53406,0.77713,0.00345,0.000203,0.000203,0.000203
92,1643.59,1.64891,0.89055,0.00344,0.82094,0.74683,0.81292,0.50786,1.50915,0.75112,0.00346,0.0001997,0.0001997,0.0001997
93,1661.27,1.6589,0.89326,0.00327,0.80514,0.77571,0.82751,0.51505,1.49553,0.74766,0.00329,0.0001964,0.0001964,0.0001964
94,1679.04,1.62647,0.87965,0.00333,0.84134,0.73825,0.81322,0.50725,1.50417,0.75996,0.00342,0.0001931,0.0001931,0.0001931
95,1697,1.60902,0.87298,0.00351,0.79193,0.75701,0.81729,0.50414,1.49596,0.75914,0.00329,0.0001898,0.0001898,0.0001898
96,1715.15,1.63248,0.90128,0.00348,0.83686,0.73487,0.81935,0.51227,1.5041,0.75465,0.00335,0.0001865,0.0001865,0.0001865
97,1732.84,1.64155,0.86906,0.00353,0.7859,0.75423,0.81425,0.5166,1.48261,0.74892,0.00324,0.0001832,0.0001832,0.0001832
98,1750.53,1.65534,0.87856,0.00339,0.79152,0.7683,0.81687,0.519,1.48943,0.74362,0.00324,0.0001799,0.0001799,0.0001799
99,1768.19,1.64742,0.87566,0.00348,0.82069,0.74077,0.81295,0.51248,1.48968,0.73986,0.00329,0.0001766,0.0001766,0.0001766
100,1785.96,1.65889,0.89242,0.00352,0.83313,0.74502,0.81124,0.51165,1.48915,0.73756,0.00327,0.0001733,0.0001733,0.0001733
101,1803.67,1.62926,0.84293,0.00332,0.81315,0.75667,0.81154,0.5148,1.49279,0.74503,0.00331,0.00017,0.00017,0.00017
102,1821.43,1.62798,0.88115,0.00352,0.78485,0.77019,0.81194,0.51677,1.50274,0.74603,0.00341,0.0001667,0.0001667,0.0001667
103,1839.35,1.6142,0.86136,0.00327,0.83305,0.74787,0.8151,0.52036,1.47055,0.73045,0.00318,0.0001634,0.0001634,0.0001634
104,1857.45,1.64612,0.87975,0.00335,0.80428,0.77678,0.81918,0.51394,1.47579,0.74645,0.00328,0.0001601,0.0001601,0.0001601
105,1875.54,1.62432,0.86891,0.00332,0.84851,0.75403,0.83234,0.52825,1.46147,0.73157,0.00313,0.0001568,0.0001568,0.0001568
